# detector-soundness PROBE manifest (scripts/detector-soundness --manifest); same 10 columns as scripts/coverage-manifest output.
# id	go_dir	function	args	expected_status	features	expected_reason	lane	why	params
probe/footprint/range-array-vs-elem-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpRangeArrayVsElemWrite	-	ok	goroutines,channels,arrays,range,race	-	probe	F-17 range copies the array; expect agree-race	width=4,sites=32,cap=64,work=2000000,backedge=full
probe/footprint/select-send-value-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpSelectSendValueVsWrite	-	ok	goroutines,channels,select,default,race	-	probe	F-18 select send operand read; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/recv-into-shared-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpRecvIntoSharedVsWrite	-	ok	goroutines,channels,race	-	probe	F-19 receive target store vs write; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/woken-recv-into-shared-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpWokenRecvIntoSharedVsWrite	-	ok	goroutines,channels,race	-	probe	F-20 woken receiver's target store vs post-send write; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/global-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpGlobalVsWrite	-	ok	goroutines,channels,globals,race	-	probe	F-21 control global; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/captured-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpCapturedVsWrite	-	ok	goroutines,channels,closures,race	-	probe	F-22 control captured local; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/map-disjoint-keys	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpMapDisjointKeys	-	ok	goroutines,channels,maps,race	-	probe	F-23 control map is one location; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/bytes-from-string-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpBytesFromStringVsWrite	-	ok	goroutines,channels,strings,slices,race	-	probe	F-24 conversion reads the variable; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/spawn-arg-vs-child-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpSpawnArgVsChildWrite	-	ok	goroutines,channels,closures,race	-	probe	F-25 control spawn-arg evaluated before the edge; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/footprint/nested-field-disjoint	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpNestedFieldDisjoint	-	ok	goroutines,channels,structs,race	-	probe	F-26 two-hop fieldGet chain disjoint leaves; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/footprint/nested-whole-vs-field	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpNestedWholeVsField	-	ok	goroutines,channels,structs,race	-	probe	F-27 inner-struct read is a prefix of the leaf write; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/schedule/default-path-race	docs/evidence/2026-09-02_detector-soundness/probes/schedule	schedDefaultPathRace	-	ok	goroutines,channels,select,default,race	-	probe	S-1 race only on the child's default path; expect machine RACE-SOME	width=4,sites=32,cap=64,work=2000000
probe/schedule/tail-race	docs/evidence/2026-09-02_detector-soundness/probes/schedule	schedTailRace	-	ok	goroutines,channels,loops,race	-	probe	S-2 schedule-independent tail race after a loop handshake; expect agree-race RACE-ALL	width=4,sites=48,cap=64,work=4000000,backedge=full
probe/schedule/deep-path-race	docs/evidence/2026-09-02_detector-soundness/probes/schedule	schedDeepPathRace	-	ok	goroutines,channels,select,default,loops,race	-	probe	S-3 race needs two lost polls; expect machine RACE-SOME	width=4,sites=48,cap=64,work=4000000,backedge=full
