# detector-soundness PROBE manifest — the BUG-080 family U4-KIND re-run under Q-U4RESIDUAL (A) (scripts/detector-soundness --manifest); rows identical to docs/evidence/2026-09-02_detector-soundness/probes-u4kind.tsv (same go_dir, the tracked source) except the `why` of the four rows whose expected cell the ruling moves.
# id	go_dir	function	args	expected_status	features	expected_reason	lane	why	params
probe/u4kind/wg-overwrite-vs-add-from-0	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgOverwriteVsAddFrom0	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: overwrite vs Add(1)-from-0/Done; expect RED (U4-2 shape: the sema read vs the overwrite)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/wg-copy-vs-done	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgCopyVsDone	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: copy vs Done ONLY; was expect GREEN (Done under race.Disable) — under Q-U4RESIDUAL (A) Done is write-like: expect over-refusal BY DESIGN	width=4,sites=32,cap=64,work=2000000
probe/u4kind/wg-overwrite-vs-done	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgOverwriteVsDone	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: overwrite vs Done ONLY; was expect GREEN in gc (nothing instrumented on Done; gc panics on the schedules where the reset counter makes Done negative) — under Q-U4RESIDUAL (A) write-like beside a plain write: expect over-refusal BY DESIGN	width=4,sites=32,cap=64,work=2000000
probe/u4kind/wg-copy-vs-first-wait	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgCopyVsFirstWait	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: copy (child) vs the FIRST blocking Wait (main); expect RED (the first waiter's sema WRITE vs the copy; roles fixed so the Wait certainly blocks)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/wg-overwrite-vs-wait-at-0	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgOverwriteVsWaitAt0	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: overwrite vs a Wait returning at counter 0; was expect GREEN (nothing instrumented) — under Q-U4RESIDUAL (A) the counter read is read-like beside a plain write: expect over-refusal BY DESIGN	width=4,sites=32,cap=64,work=2000000
probe/u4kind/once-copy-vs-first-do	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kOnceCopyVsFirstDo	-	ok	sync,once,goroutines,channels,structs,closures,race	-	probe	Once: copy vs the FIRST Do; expect RED (doSlow's Lock CAS / done Store are atomic writes)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/once-overwrite-vs-first-do	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kOnceOverwriteVsFirstDo	-	ok	sync,once,goroutines,channels,structs,closures,race	-	probe	Once: overwrite vs the FIRST Do; expect RED (U4-4 shape)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/once-copy-vs-done-do	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kOnceCopyVsDoneDo	-	ok	sync,once,goroutines,channels,structs,closures,race	-	probe	Once: copy vs a Do AFTER completion (atomic READ only); expect GREEN (read/read)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/once-overwrite-vs-done-do	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kOnceOverwriteVsDoneDo	-	ok	sync,once,goroutines,channels,structs,closures,race	-	probe	Once: overwrite vs a Do AFTER completion; expect RED (atomic read vs plain write)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/once-first-do-vs-copy	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kOnceFirstDoVsCopy	-	ok	sync,once,goroutines,channels,structs,closures,race	-	probe	Once: roles swapped — copy (child) vs the FIRST Do (main); expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/once-contend	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kOnceContend	-	ok	sync,once,goroutines,channels,structs,closures,race	-	probe	Once CONTROL: two goroutines contend on one Do; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
