# P3 curation dispositions — the tracked join of the four worker reports
# + integrator rows (2026-08-18). One row per (block, worker); a block may
# appear twice when a handover was completed at integration (the later
# integ row supersedes the earlier SKIPPED/NEGATIVE-MATERIAL row).
# dispositions: CASES=171, COMPILE-ONLY=5, NEGATIVE-MATERIAL=1, SKIPPED=21
# KNOWN GAP (w3 cross-check): the legal lines of the contains-illegal
# literal grids (Integer/Float/Rune/String_literals) are rejected-line
# covered only; their legal-value pinning is a recorded follow-on.
block_id	worker	disposition	case_ids	note
General_interfaces-5-61c674f4	w1	CASES	spec-examples/nonbasic-interface-variable,spec-examples/nonbasic-interface-conversion,spec-examples/nonbasic-interface-struct-field	all 3 illegal lines; Float defined per the spec's earlier block.
General_interfaces-6-42003263	w1	CASES	spec-examples/interface-embed-self,spec-examples/interface-embed-mutual,spec-examples/interface-embed-union-self,spec-examples/interface-embed-array-self	all 4 illegal declarations (Bad1/Bad2 kept together: mutual embedding).
Go_statements-2-c0556425	w2	CASES	spec-examples-stmt/go-statements/named-call spec-examples-stmt/go-statements/func-literal spec-examples-stmt/go-statements/params-at-go	Server/sleep undefined in spec -> stand-ins (noted); rendezvous-fixed observables, strict lane per goroutines/pipeline precedent; params-evaluated-in-calling-goroutine pinned race-free
Goto_statements-2-a502299a	w3	CASES	spec-examples-lexical/goto-label/goto-taken,spec-examples-lexical/goto-label/goto-not-taken	goto Error form, taken (arg 3 -> -6) and not taken (arg 99 -> 45)
Goto_statements-3-474e8f9f	integ	CASES	spec-examples/goto-over-declaration	handover from w2 SKIPPED: negative case built at integration
Goto_statements-3-474e8f9f	w2	SKIPPED	-	the spec marks it BAD: "jump to label L skips the creation of v" — compile-negative material (negative/compile lane, outside this exec subtree); verified: gc rejects "goto L jumps over declaration of v"
Goto_statements-4-42aaa746	integ	CASES	spec-examples/goto-into-block	handover from w2 SKIPPED: negative case built at integration
Goto_statements-4-42aaa746	w2	SKIPPED	-	spec prose: "is erroneous because the label L1 is inside the for statement's block but the goto is not" — compile-negative material (negative/compile lane, outside this exec subtree); verified: gc rejects "goto L1 jumps into block"
Handling_panics-2-e7d4cef6	w3	CASES	spec-examples-lexical/panic-values/panic-int,spec-examples-lexical/panic-values/panic-string,spec-examples-lexical/panic-values/panic-error	each spec panic value recovered and pinned exactly (dynamic type + value); Error realized as defined string type implementing error (spec leaves it undeclared); each returns 1
Handling_panics-3-620051a5	w4	CASES	spec-examples-decl/recover-protect/panics,spec-examples-decl/recover-protect/clean	log calls realized as recorder (log outside import norms)
Identifiers-2-b38494c4	w3	CASES	spec-examples-lexical/identifiers	four identifier forms declared+used; subject returns 4321 (each identifier carries a distinct digit); Unicode identifier included
If_statements-2-3dfe8916	w2	CASES	spec-examples-stmt/if-simple/above spec-examples-stmt/if-simple/at spec-examples-stmt/if-simple/below	clamp shape, boundary included
If_statements-3-23172299	w2	CASES	spec-examples-stmt/if-init-else-chain/first-branch spec-examples-stmt/if-init-else-chain/second-branch spec-examples-stmt/if-init-else-chain/else-branch spec-examples-stmt/if-init-else-chain/boundary-y spec-examples-stmt/if-init-else-chain/boundary-z	init statement + else-if chain, all branches + boundaries
Imaginary_literals-2-b6efe7cf	w3	CASES	spec-examples-lexical/imaginary-literals	all 12 forms pinned to values via complex(re,im); spec's own assertions (0123i==123i decimal, 0o123i==83i, 0xabci==2748i, 0x1p-2i==0.25i) each a score bit; returns 4095. FILE MUST NOT BE gofmt'd — gofmt rewrites 0123i/1E6i/.12345E+5i spellings (warning comment in file)
Import_declarations-3-d4dcbade	w4	SKIPPED	-	blank import of nonexistent path lib/math; not runnable in the one-file corpus
Index_expressions-1-366168ca	w3	CASES	spec-examples-lexical/index-expression-form	a[x] over array/slice/string/map operand kinds from prose; returns 164
Index_expressions-2-e0e8e639	w4	CASES	spec-examples-decl/index-comma-ok	-
Instantiations-1-1a7fd952	w4	COMPILE-ONLY	spec-examples-decl/compile-only-forms	legal table rows instantiated; the illegal io.Writer row is negative material outside this positive lane
Instantiations-2-e6028196	w1	CASES	spec-examples/generic-func-no-instantiation	x := sum; sum's elided body ({ ... }) filled in minimally.
Instantiations-3-8fe1b1b6	w1	CASES	spec-examples/empty-type-arg-list	apply[]; rejected at parse level ("syntax error: unexpected ]").
Integer_literals-2-919e22f8	w1	CASES	spec-examples/int-lit-trailing-underscore,spec-examples/int-lit-double-underscore,spec-examples/int-lit-underscore-in-prefix	3 illegal literals (42_, 4__2, 0_xBadFace); _42 line is legal (identifier). 0_xBadFace also cascades a follow-on syntax error after the intended '_' diagnostic (lexical re-tokenization).
Integer_operators-3-b892259b	w3	CASES	spec-examples-lexical/integer-division-overflow	most-negative x / -1 == x, r == 0 at all four widths (runtime operands — constant form is rejected by gc); returns 15
Iota-1-b1d75795	w4	CASES	spec-examples-decl/iota-per-constdecl	-
Iota-2-7755546c	w4	CASES	spec-examples-decl/iota-multi-pair	-
Length_and_capacity-3-4eda3abb	w1	CASES	spec-examples/const-len-nonconstant-call	c5 invalid (imag(z) non-constant call in const initializer); legal c4 kept as in-block contrast, z declared after the const block as in the spec.
Making_slices_maps_and_channels-2-3bf764de	w1	CASES	spec-examples/make-len-not-representable,spec-examples/make-len-exceeds-cap	both illegal lines. gc words len>cap as "invalid argument: length and capacity swapped".
Map_types-3-e7a32402	w3	CASES	spec-examples-lexical/map-type-make	both make forms; capacity hint does not affect len; returns 31
Method_declarations-2-2c71f0c0	w4	CASES	spec-examples-decl/point-methods/scale,spec-examples-decl/point-methods/length	math.Sqrt outside import norms; replaced by local Newton sqrt, noted in header
Method_declarations-3-9efcc696	w4	CASES	spec-examples-decl/generic-pair-swap	receiver type-param rename + blank (Pair[First, _])
Method_declarations-4-fa8d3c1f	w1	CASES	spec-examples/method-recv-generic-alias,spec-examples/method-recv-alias-instantiated-ptr,spec-examples/method-recv-alias-instantiated	all 3 illegal method decls. NOTE: spec's `func (HPoint) Draw(P)` uses P with no P in scope (would add an undefined-P error); param written as int so the receiver error is the only one - flagged in the main.go comment. gc's error for the HPoint case names the alias target ("instantiated type GPoint[int]"), matching the spec's stated reason.
Method_expressions-2-c6a16b09	w4	CASES	spec-examples-decl/method-expressions	T.Mv, (*T).Mp, and derived (*T).Mv
Method_expressions-3-13bad155	w3	CASES	spec-examples-lexical/method-expressions/value-receiver-expr	T.Mv: spec's five equivalent invocations all yield 0; returns 31
Method_expressions-4-6010ca5d	w4	SKIPPED	-	signature-only prose; the described type is the type of f1 in spec-examples-decl/method-expressions
Method_expressions-5-8134ce9d	w2	CASES	spec-examples-stmt/method-expr-five-forms	five equivalent invocations; Mv body made discriminating (spec's returns 0), noted
Method_expressions-6-b357a017	w3	CASES	spec-examples-lexical/method-expressions/pointer-receiver-expr	(*T).Mp as func(tp *T, f float32) float32 yields 1; returns 3
Method_expressions-7-073e566a	w4	SKIPPED	-	signature-only prose; the described type is the type of f2 in spec-examples-decl/method-expressions
Method_expressions-8-b1e270fb	w3	CASES	spec-examples-lexical/method-expressions/derived-pointer-receiver-expr	(*T).Mv derived pointer-receiver fn; indirects, does not overwrite receiver value; returns 3
Method_expressions-9-6a939495	w4	SKIPPED	-	signature-only prose; the described type is the type of f3 in spec-examples-decl/method-expressions
Method_values-1-0352b892	w4	CASES	spec-examples-decl/method-values-receiver-copy	receiver saved at method-value creation; *t = 42 unobserved by f and g
Method_values-2-555de57d	w4	CASES	spec-examples-decl/method-values-binding/binding	bodiless makeT given a body; auto-deref pt.Mv and auto-address t.Mp included
Method_values-3-2c73bff5	w3	CASES	spec-examples-lexical/method-values/value-receiver-method-value	t.Mv as func(int) int; both spec invocations agree; returns 3
Method_values-4-d151433c	w4	SKIPPED	-	signature-only prose; exercised by spec-examples-decl/method-values-binding
Method_values-5-b62c3e1c	w2	CASES	spec-examples-stmt/method-value-two-forms/two-forms spec-examples-stmt/method-value-two-forms/saved-receiver	two equivalent invocations + same-anchor prose pin (receiver saved at bind time)
Method_values-6-def3a9b7	w3	CASES	spec-examples-lexical/method-values/pointer-receiver-method-value	pt.Mp as func(float32) float32; returns 3
Method_values-7-d9193993	w4	SKIPPED	-	signature-only prose; exercised by spec-examples-decl/method-values-binding
Method_values-8-90f77b27	w1	CASES	spec-examples/method-value-unaddressable-recv	f := makeT().Mp; gc: "cannot call pointer method Mp on T". Block's other lines are legal usage examples.
Method_values-9-a2533909	w4	CASES	spec-examples-decl/method-values-binding/interface	method value from an interface value; f(7) acts like i.M(7)
Min_and_max-1-4d1986f3	w1	CASES	spec-examples/min-slice-spread	min(s...): "invalid use of ... with built-in min".
Min_and_max-3-fea8bda1	w2	CASES	spec-examples-stmt/min-max-float-specials/signed-zero spec-examples-stmt/min-max-float-specials/infinities spec-examples-stmt/min-max-float-specials/nan	all 4 table rows; zero signs via 1/r, NaN-ness (not payload) via r != r; runtime -0.0 (constants can't produce one per Representability)
Min_and_max-4-c767f355	w2	CASES	spec-examples-stmt/min-max-strings/pairs spec-examples-stmt/min-max-strings/assoc	string min/max == manual if x <= y form (byte-wise, incl. prefix pairs); 3-arg == nested 2-arg
Operator_precedence-2-c640b54b	w2	CASES	spec-examples-stmt/operator-precedence/unary-plus spec-examples-stmt/operator-precedence/add-sub spec-examples-stmt/operator-precedence/mul-index spec-examples-stmt/operator-precedence/cmp-call spec-examples-stmt/operator-precedence/not-shift spec-examples-stmt/operator-precedence/or-calls spec-examples-stmt/operator-precedence/mixed-chan	one subject per line; values chosen to discriminate wrong groupings (e.g. ^a>>b: 126 vs 254)
Operators-2-7ca475c4	w1	CASES	spec-examples/shift-untyped-float-var,spec-examples/shift-untyped-float-compare,spec-examples/shift-int-float-context,spec-examples/shift-float32-var,spec-examples/shift-string-conversion	the 5 illegal lines of the 64-bit section (u,u1,u2,v1,v2). Lines marked "panics" (a[1.0<<s]) are runtime behavior, not compile-illegal.
Operators-2-7ca475c4	w1	SKIPPED	-	line `var pp = 1<<s == 1<<33` is illegal ONLY for 32-bit ints (spec's 32-bit section). Verified: compiles on amd64 (spec-consistent), and GOARCH=386 rejects it with "1 << 33 (untyped int constant 8589934592) overflows int". The negative runner builds host-arch only, so no portable case; not a divergence.
Order_of_evaluation-1-8d2525f7	w2	CASES	spec-examples-stmt/eval-order-calls/verbatim spec-examples-stmt/eval-order-calls/traced-recv	spec-fixed call trace f,h,i,j,<-c,g,k observed (verbatim raw <-c + traced-receive variant); z=false so h runs
Order_of_evaluation-2-267c660a	w2	SKIPPED	-	spec-UNSPECIFIED evaluation order ("x may be [1, 2] or [2, 2]") — nondeterministic observable; membership-lane material
Order_of_evaluation-3-af118e1b	w4	CASES	spec-examples-decl/init-call-order/order,spec-examples-decl/init-call-order/values	the spec-forced call order u,sqr,v,f,v,g pinned via recorder; u/v realized as independent recorders
Package_clause-2-d0ac3a8e	w4	SKIPPED	-	package clause prose; every corpus file exercises it
Package_initialization-1-235612be	w4	CASES	spec-examples-decl/pkg-init-together	a and b initialized together (f runs once) and before x
Package_initialization-2-5310cffb	w4	CASES	spec-examples-decl/pkg-init-deps	order d,b,c,a with a==9 b==4 c==5 d==5
Package_initialization-3-c7d2c156	w4	SKIPPED	-	LATITUDE, spec-explicit: with the hidden method dependency the init order of x/sideEffect relative to a,b "is not specified" — a strict-lane pin would freeze gc's choice as if forced; membership-lane + divergence-ledger candidate
Package_initialization-4-fb4fe100	w4	SKIPPED	-	the init() form as prose; Corpus/coverage/exec/init/ already exercises init semantics
Package_unsafe-2-b04c645a	w4	SKIPPED	-	unsafe.Pointer forms — unsafe is outside corpus norms
Package_unsafe-5-6bae1118	w3	SKIPPED	-	(*[len]ArbitraryType)(unsafe.Pointer(ptr))[:] is a schematic pattern (placeholder len and ArbitraryType — not compilable as written) and unsafe is outside the modeled fragment
Passing_arguments_to_..._parameters-1-0cf283d3	w4	CASES	spec-examples-decl/variadic-greeting-nil/nil,spec-examples-decl/variadic-greeting-nil/three	who == nil for the zero-arg call, fresh slice of 3 for the second
Passing_arguments_to_..._parameters-2-c2755fcd	w2	CASES	spec-examples-stmt/variadic-slice-passthrough	s... passed unchanged: same underlying array observed via callee mutation; len/cap = 2
Pointer_types-2-4fa35dec	w3	CASES	spec-examples-lexical/pointer-type-forms	*Point and *[4]int declared+exercised; also pins uninitialized-pointer==nil prose; returns 31
Program_execution-1-0592f9b6	w4	SKIPPED	-	func main() prose; exercised by every program
Qualified_identifiers-2-cfbc14aa	w3	CASES	spec-examples-lexical/qualified-identifier	math.Sin as direct call and function value, Sin(0)==0; NOTE: needs stdlib "math" import — expect a visible frontend-blocked red (guardrail-first), triage at landing
Receive_operator-1-fc6a6263	w2	CASES	spec-examples-stmt/receive-forms	all four receive forms; preloaded buffered channels keep it single-goroutine deterministic
Receive_operator-2-5d49b546	w4	CASES	spec-examples-decl/receive-comma-ok/forms,spec-examples-decl/receive-comma-ok/typed-form	the var x, ok T = <-ch form forces T = bool over chan bool
Representability-1-25bd0473	w2	CASES	spec-examples-stmt/representability/ints-strings spec-examples-stmt/representability/float-rounding spec-examples-stmt/representability/neg-tiny-unsigned-zero spec-examples-stmt/representability/complex-to-real	all 10 table rows; -1e-1000 -> UNSIGNED zero pinned via 1/f > 0; 2.718281828459045 -> float32 bits 0x402DF854 (2.7182817) confirmed
Return_statements-2-b1385fe7	w4	CASES	spec-examples-decl/return-forms	-
Return_statements-3-0dfcaa71	w4	CASES	spec-examples-decl/return-forms	-
Return_statements-4-6dfcf122	w4	CASES	spec-examples-decl/return-forms	multi-valued call forwarded as return value
Return_statements-5-d7698a1e	w4	CASES	spec-examples-decl/return-forms	naked return + blank-named result returned as zero value; devnull declared as support
Return_statements-6-a013b9d5	w1	CASES	spec-examples/bare-return-shadowed-result	spec's f verbatim; gc: "result parameter err not in scope at return".
Run_time_panics-1-d30d9de1	w4	SKIPPED	-	declares runtime.Error inside package runtime; not user-writable as such; run-time panics exercised across the corpus panic cases
