# spec <pre>-block inventory — the P3 denominator (campaign 4.2)
# regenerated by scripts/extract-spec-examples from deps/go @ c19862e5f841
# blocks: 326 total; by AUTO class: contains-illegal=35, decl-fragment=95, ebnf=62, grammar=28, non-code=42, program=1, stmt-expr-fragment=37, token-examples=26
# classes ebnf/grammar/non-code are excluded from the runnable
# denominator BY CLASS with the reason in the script header —
# never silently (SpecTec pass=0,0 pattern). CURATION STATUS
# lives in docs/spec-archaeology/spec-examples-dispositions.tsv
# (SKIPs and handovers exist ONLY there) plus the corpus itself,
# keyed by block_id. KNOWN AUTO-CLASS MISFILES (P3 audit F5),
# corrected in the dispositions, not here (this file is
# regenerated): Goto_statements-3/-4 are negative material
# classed stmt-expr-fragment; Selectors-4 is negative material
# classed token-examples; For_clause-5 is an output exhibit
# classed token-examples.
block_id	anchor	class	lines	curated	note
Struct_types-1-aabd09ea	Struct_types	ebnf	4	-	-
Struct_types-2-d6b79a9b	Struct_types	non-code	10	-	-
Struct_types-3-935003cb	Struct_types	non-code	8	-	-
Struct_types-4-561a884d	Struct_types	non-code	5	-	-
Struct_types-5-677bedbd	Struct_types	stmt-expr-fragment	12	-	-
Struct_types-6-4cfd4d7d	Struct_types	contains-illegal	13	-	-
Pointer_types-1-373abf33	Pointer_types	ebnf	2	-	-
Pointer_types-2-4fa35dec	Pointer_types	token-examples	2	-	-
Function_types-1-55bb78e0	Function_types	ebnf	6	-	-
Function_types-2-90bee491	Function_types	decl-fragment	8	-	-
Interface_types-1-11ed5f1f	Interface_types	ebnf	7	-	-
Basic_interfaces-1-ca1ac3c6	Basic_interfaces	non-code	6	-	-
Basic_interfaces-2-c4d2a811	Basic_interfaces	contains-illegal	5	-	-
Basic_interfaces-3-fb7165ac	Basic_interfaces	decl-fragment	3	-	-
Basic_interfaces-4-d915db68	Basic_interfaces	non-code	1	-	-
Basic_interfaces-5-0c73e0fa	Basic_interfaces	decl-fragment	4	-	-
Basic_interfaces-6-30e0b4a6	Basic_interfaces	decl-fragment	2	-	-
Embedded_interfaces-1-bf873c1a	Embedded_interfaces	decl-fragment	13	-	-
Embedded_interfaces-2-0b6490ef	Embedded_interfaces	contains-illegal	4	-	-
General_interfaces-1-854927ef	General_interfaces	non-code	18	-	-
General_interfaces-2-46b76d35	General_interfaces	contains-illegal	6	-	-
General_interfaces-3-cbe6a5b5	General_interfaces	decl-fragment	6	-	-
General_interfaces-4-51fa039a	General_interfaces	contains-illegal	6	-	-
General_interfaces-5-61c674f4	General_interfaces	contains-illegal	5	-	-
General_interfaces-6-42003263	General_interfaces	contains-illegal	19	-	-
Map_types-1-ae392a86	Map_types	ebnf	2	-	-
Map_types-2-2389b951	Map_types	non-code	3	-	-
Map_types-3-e7a32402	Map_types	token-examples	2	-	-
Channel_types-1-7b9bb1b0	Channel_types	ebnf	1	-	-
Channel_types-2-04dbba2f	Channel_types	token-examples	3	-	-
Channel_types-3-e5c20dac	Channel_types	non-code	4	-	-
Channel_types-4-5683e263	Channel_types	non-code	1	-	-
Underlying_types-1-6ede4d8d	Underlying_types	decl-fragment	11	-	-
Type_identity-1-f7f5ddf5	Type_identity	decl-fragment	17	-	-
Type_identity-2-3852e9af	Type_identity	decl-fragment	9	-	-
Representability-1-25bd0473	Representability	stmt-expr-fragment	11	-	-
Representability-2-69cf6c3f	Representability	non-code	8	-	-
Blocks-1-4a6215ab	Blocks	ebnf	2	-	-
Declarations_and_scope-1-6fffcb49	Declarations_and_scope	ebnf	2	-	-
Predeclared_identifiers-1-7088f508	Predeclared_identifiers	grammar	12	-	-
Constant_declarations-1-bd0c4bc7	Constant_declarations	ebnf	4	-	-
Constant_declarations-2-b9b19c33	Constant_declarations	decl-fragment	8	-	-
Constant_declarations-3-7c6d4b28	Constant_declarations	decl-fragment	10	-	-
Iota-1-b1d75795	Iota	decl-fragment	18	-	-
Iota-2-7755546c	Iota	decl-fragment	6	-	-
Type_declarations-1-56f79d0d	Type_declarations	ebnf	2	-	-
Alias_declarations-1-1bea4b55	Alias_declarations	ebnf	1	-	-
Alias_declarations-2-1a9a3d08	Alias_declarations	decl-fragment	4	-	-
Alias_declarations-3-d69c972f	Alias_declarations	decl-fragment	1	-	-
Alias_declarations-4-74451fb2	Alias_declarations	contains-illegal	4	-	-
Type_definitions-1-fa9c9b6e	Type_definitions	ebnf	1	-	-
Type_definitions-2-15b8a5c5	Type_definitions	decl-fragment	13	-	-
Type_definitions-3-1cc92870	Type_definitions	decl-fragment	16	-	-
Type_definitions-4-43d28461	Type_definitions	decl-fragment	10	-	-
Type_definitions-5-2ef7be8d	Type_definitions	decl-fragment	4	-	-
Type_definitions-6-92a5f453	Type_definitions	contains-illegal	4	-	-
Type_definitions-7-df4fe91f	Type_definitions	decl-fragment	2	-	-
Type_parameter_declarations-1-70f17c66	Type_parameter_declarations	ebnf	3	-	-
Type_parameter_declarations-2-652f1f0e	Type_parameter_declarations	non-code	5	-	-
Type_parameter_declarations-3-c1263bf1	Type_parameter_declarations	decl-fragment	4	-	-
Type_parameter_declarations-4-eee1623c	Type_parameter_declarations	decl-fragment	2	-	-
Type_constraints-1-fd51b5e2	Type_constraints	ebnf	1	-	-
Type_constraints-2-d68bf28b	Type_constraints	contains-illegal	4	-	-
Type_constraints-3-d3e0100a	Type_constraints	non-code	7	-	-
Satisfying_a_type_constraint-1-1c69f8c6	Satisfying_a_type_constraint	decl-fragment	9	-	-
Variable_declarations-1-daf56d2e	Variable_declarations	ebnf	2	-	-
Variable_declarations-2-e27bbbcf	Variable_declarations	decl-fragment	10	-	-
Variable_declarations-3-f13e0b23	Variable_declarations	contains-illegal	4	-	-
Short_variable_declarations-1-2e910ba3	Short_variable_declarations	ebnf	1	-	-
Short_variable_declarations-2-39c44aea	Short_variable_declarations	grammar	1	-	-
Short_variable_declarations-3-b4785831	Short_variable_declarations	stmt-expr-fragment	5	-	-
Short_variable_declarations-4-c0320034	Short_variable_declarations	contains-illegal	3	-	-
Function_declarations-1-6cc17555	Function_declarations	ebnf	3	-	-
Function_declarations-2-6d67373d	Function_declarations	contains-illegal	8	-	-
Function_declarations-3-9873b045	Function_declarations	decl-fragment	6	-	-
Function_declarations-4-d7af4440	Function_declarations	decl-fragment	1	-	-
Method_declarations-1-e7f51655	Method_declarations	ebnf	2	-	-
Method_declarations-2-2c71f0c0	Method_declarations	decl-fragment	7	-	-
Method_declarations-3-9efcc696	Method_declarations	decl-fragment	6	-	-
Method_declarations-4-fa8d3c1f	Method_declarations	contains-illegal	6	-	-
Operands-1-e9183bbd	Operands	ebnf	4	-	-
Qualified_identifiers-1-10bc6114	Qualified_identifiers	ebnf	1	-	-
Qualified_identifiers-2-cfbc14aa	Qualified_identifiers	token-examples	1	-	-
Composite_literals-1-e1e77ebf	Composite_literals	ebnf	9	-	-
Composite_literals-2-0f327af4	Composite_literals	stmt-expr-fragment	2	-	-
Composite_literals-3-5424b977	Composite_literals	decl-fragment	2	-	-
Composite_literals-4-56653998	Composite_literals	stmt-expr-fragment	2	-	-
Composite_literals-5-3a437841	Composite_literals	decl-fragment	1	-	-
Composite_literals-6-98e6a258	Composite_literals	stmt-expr-fragment	2	-	-
Composite_literals-7-ee492ce1	Composite_literals	stmt-expr-fragment	3	-	-
Composite_literals-8-f619f368	Composite_literals	non-code	1	-	-
Composite_literals-9-bb382c43	Composite_literals	stmt-expr-fragment	2	-	-
Composite_literals-10-34318a7a	Composite_literals	decl-fragment	8	-	-
Composite_literals-11-e14616e7	Composite_literals	stmt-expr-fragment	11	-	-
Function_literals-1-a4d8c437	Function_literals	ebnf	1	-	-
Function_literals-2-a0dfaa1c	Function_literals	decl-fragment	1	-	-
Function_literals-3-0b0ad6e6	Function_literals	decl-fragment	2	-	-
Primary_expressions-1-806768cf	Primary_expressions	ebnf	14	-	-
Primary_expressions-2-d0ce6849	Primary_expressions	non-code	9	-	-
Selectors-1-4580a32c	Selectors	token-examples	1	-	-
Selectors-2-3fcac2bf	Selectors	decl-fragment	18	-	-
Selectors-3-361b7011	Selectors	token-examples	11	-	-
Selectors-4-c76451a2	Selectors	token-examples	1	-	-
Method_expressions-1-b61d1fcb	Method_expressions	ebnf	2	-	-
Method_expressions-2-c6a16b09	Method_expressions	decl-fragment	6	-	-
Method_expressions-3-13bad155	Method_expressions	token-examples	1	-	-
Method_expressions-4-6010ca5d	Method_expressions	decl-fragment	1	-	-
Method_expressions-5-8134ce9d	Method_expressions	stmt-expr-fragment	5	-	-
Method_expressions-6-b357a017	Method_expressions	token-examples	1	-	-
Method_expressions-7-073e566a	Method_expressions	decl-fragment	1	-	-
Method_expressions-8-b1e270fb	Method_expressions	token-examples	1	-	-
Method_expressions-9-6a939495	Method_expressions	decl-fragment	1	-	-
Method_values-1-0352b892	Method_values	decl-fragment	8	-	-
Method_values-2-555de57d	Method_values	decl-fragment	8	-	-
Method_values-3-2c73bff5	Method_values	token-examples	1	-	-
Method_values-4-d151433c	Method_values	decl-fragment	1	-	-
Method_values-5-b62c3e1c	Method_values	stmt-expr-fragment	2	-	-
Method_values-6-def3a9b7	Method_values	token-examples	1	-	-
Method_values-7-d9193993	Method_values	decl-fragment	1	-	-
Method_values-8-90f77b27	Method_values	contains-illegal	5	-	-
Method_values-9-a2533909	Method_values	decl-fragment	2	-	-
Index_expressions-1-366168ca	Index_expressions	token-examples	1	-	-
Index_expressions-2-e0e8e639	Index_expressions	decl-fragment	3	-	-
Slice_expressions-1-b28628c0	Slice_expressions	non-code	1	-	-
Slice_expressions-2-3678d32a	Slice_expressions	stmt-expr-fragment	2	-	-
Slice_expressions-3-c42284fd	Slice_expressions	non-code	3	-	-
Slice_expressions-4-5e36e5ff	Slice_expressions	token-examples	3	-	-
Slice_expressions-5-891e8f16	Slice_expressions	decl-fragment	6	-	-
Slice_expressions-6-c19beef1	Slice_expressions	non-code	1	-	-
Slice_expressions-7-6feb1778	Slice_expressions	stmt-expr-fragment	2	-	-
Slice_expressions-8-ad72a47e	Slice_expressions	non-code	2	-	-
Type_assertions-1-e1930fb0	Type_assertions	token-examples	1	-	-
Type_assertions-2-f31bbf04	Type_assertions	contains-illegal	8	-	-
Type_assertions-3-4a92a9bb	Type_assertions	decl-fragment	4	-	-
Calls-1-70c40bed	Calls	non-code	1	-	-
Calls-2-061c787e	Calls	decl-fragment	3	-	-
Calls-3-bd483f5e	Calls	decl-fragment	9	-	-
Calls-4-6010d7a1	Calls	decl-fragment	2	-	-
Passing_arguments_to_..._parameters-1-0cf283d3	Passing_arguments_to_..._parameters	decl-fragment	3	-	-
Passing_arguments_to_..._parameters-2-c2755fcd	Passing_arguments_to_..._parameters	stmt-expr-fragment	2	-	-
Instantiations-1-1a7fd952	Instantiations	decl-fragment	5	-	-
Instantiations-2-e6028196	Instantiations	contains-illegal	10	-	-
Instantiations-3-8fe1b1b6	Instantiations	contains-illegal	6	-	-
Type_inference-1-21633371	Type_inference	decl-fragment	5	-	-
Type_inference-2-5c69bfbb	Type_inference	non-code	2	-	-
Type_inference-3-de3e5689	Type_inference	non-code	2	-	-
Type_inference-4-59fa958a	Type_inference	non-code	1	-	-
Type_unification-1-8c22e47c	Type_unification	stmt-expr-fragment	1	-	-
Operators-1-2e2c4ee9	Operators	ebnf	7	-	-
Operators-2-7ca475c4	Operators	contains-illegal	25	-	-
Operator_precedence-1-82415bfd	Operator_precedence	grammar	6	-	-
Operator_precedence-2-c640b54b	Operator_precedence	stmt-expr-fragment	7	-	-
Arithmetic_operators-1-f7a861c5	Arithmetic_operators	grammar	11	-	-
Arithmetic_operators-2-9bb79253	Arithmetic_operators	decl-fragment	8	-	-
Integer_operators-1-a7b185c1	Integer_operators	non-code	1	-	-
Integer_operators-2-25716887	Integer_operators	non-code	5	-	-
Integer_operators-3-b892259b	Integer_operators	token-examples	5	-	-
Integer_operators-4-f086a71e	Integer_operators	non-code	3	-	-
Integer_operators-5-19d8398e	Integer_operators	grammar	4	-	-
Floating_point_operators-1-72956e18	Floating_point_operators	stmt-expr-fragment	10	-	-
String_concatenation-1-994ecb2e	String_concatenation	stmt-expr-fragment	2	-	-
Comparison_operators-1-96faa6b7	Comparison_operators	grammar	6	-	-
Comparison_operators-2-60d7731d	Comparison_operators	decl-fragment	10	-	-
Logical_operators-1-9e9282d7	Logical_operators	grammar	3	-	-
Address_operators-1-7fb9c29a	Address_operators	decl-fragment	8	-	-
Receive_operator-1-fc6a6263	Receive_operator	stmt-expr-fragment	4	-	-
Receive_operator-2-5d49b546	Receive_operator	decl-fragment	4	-	-
Conversions-1-18de6af2	Conversions	ebnf	1	-	-
Conversions-2-afcd996f	Conversions	decl-fragment	8	-	-
Conversions-3-aa36f537	Conversions	contains-illegal	12	-	-
Conversions-4-e2ad0265	Conversions	decl-fragment	3	-	-
Conversions-5-b1bcceec	Conversions	decl-fragment	15	-	-
Conversions_to_and_from_a_string_type-1-7a8a44d8	Conversions_to_and_from_a_string_type	decl-fragment	8	-	-
Conversions_to_and_from_a_string_type-2-79d2a1ba	Conversions_to_and_from_a_string_type	decl-fragment	8	-	-
Conversions_to_and_from_a_string_type-3-5710b646	Conversions_to_and_from_a_string_type	token-examples	5	-	-
Conversions_to_and_from_a_string_type-4-e4dd55f2	Conversions_to_and_from_a_string_type	token-examples	5	-	-
Conversions_to_and_from_a_string_type-5-e2a4cb7a	Conversions_to_and_from_a_string_type	decl-fragment	6	-	-
Conversions_from_slice_to_array_or_array_pointer-1-2861064a	Conversions_from_slice_to_array_or_array_pointer	decl-fragment	15	-	-
Constant_expressions-1-665fef14	Constant_expressions	contains-illegal	17	-	-
Constant_expressions-2-93cb2295	Constant_expressions	decl-fragment	2	-	-
Constant_expressions-3-8a328e0d	Constant_expressions	decl-fragment	2	-	-
Constant_expressions-4-f8ad9971	Constant_expressions	contains-illegal	1	-	-
Constant_expressions-5-522ce9d7	Constant_expressions	non-code	5	-	-
Constant_expressions-6-dc29f1de	Constant_expressions	contains-illegal	5	-	-
Order_of_evaluation-1-8d2525f7	Order_of_evaluation	stmt-expr-fragment	1	-	-
Order_of_evaluation-2-267c660a	Order_of_evaluation	stmt-expr-fragment	5	-	-
Order_of_evaluation-3-af118e1b	Order_of_evaluation	decl-fragment	5	-	-
Statements-1-8f915069	Statements	ebnf	5	-	-
Empty_statements-1-cd9013c9	Empty_statements	ebnf	1	-	-
Labeled_statements-1-425ff55e	Labeled_statements	ebnf	2	-	-
Labeled_statements-2-ede6761f	Labeled_statements	non-code	1	-	-
Expression_statements-1-23b6089a	Expression_statements	ebnf	1	-	-
Expression_statements-2-f369b1d2	Expression_statements	non-code	2	-	-
Expression_statements-3-7bc85688	Expression_statements	contains-illegal	5	-	-
Send_statements-1-0fe2b85e	Send_statements	ebnf	2	-	-
Send_statements-2-1d68350e	Send_statements	non-code	1	-	-
IncDec_statements-1-9437d680	IncDec_statements	ebnf	1	-	-
IncDec_statements-2-5057f8eb	IncDec_statements	grammar	3	-	-
Assignment_statements-1-7495bf05	Assignment_statements	ebnf	2	-	-
Assignment_statements-2-4c295deb	Assignment_statements	stmt-expr-fragment	4	-	-
Assignment_statements-3-49a6e5b3	Assignment_statements	non-code	2	-	-
Assignment_statements-4-61c9d329	Assignment_statements	non-code	1	-	-
Assignment_statements-5-362ff27e	Assignment_statements	non-code	1	-	-
Assignment_statements-6-56362122	Assignment_statements	non-code	2	-	-
Assignment_statements-7-5f7deaa8	Assignment_statements	decl-fragment	17	-	-
Assignment_statements-8-bcd96992	Assignment_statements	decl-fragment	9	-	-
If_statements-1-b65161ca	If_statements	ebnf	1	-	-
If_statements-2-3dfe8916	If_statements	stmt-expr-fragment	3	-	-
If_statements-3-23172299	If_statements	stmt-expr-fragment	7	-	-
Switch_statements-1-675cca0e	Switch_statements	ebnf	1	-	-
Expression_switches-1-0f741814	Expression_switches	ebnf	3	-	-
Expression_switches-2-8d84f981	Expression_switches	stmt-expr-fragment	14	-	-
Type_switches-1-078d24fa	Type_switches	non-code	3	-	-
Type_switches-2-cda2476e	Type_switches	ebnf	4	-	-
Type_switches-3-8bc27ecc	Type_switches	stmt-expr-fragment	14	-	-
Type_switches-4-595985f9	Type_switches	stmt-expr-fragment	21	-	-
Type_switches-5-0b078ebe	Type_switches	decl-fragment	16	-	-
For_statements-1-f88fe598	For_statements	ebnf	2	-	-
For_condition-1-fcb62f60	For_condition	stmt-expr-fragment	3	-	-
For_clause-1-a510598a	For_clause	ebnf	3	-	-
For_clause-2-1acd7fef	For_clause	stmt-expr-fragment	3	-	-
For_clause-3-d61c1c53	For_clause	stmt-expr-fragment	2	-	-
For_clause-4-9af0c9d2	For_clause	decl-fragment	8	-	-
For_clause-5-ceac0281	For_clause	token-examples	3	-	-
For_clause-6-930576d8	For_clause	token-examples	3	-	-
For_range-1-35efe417	For_range	ebnf	1	-	-
For_range-2-1dbc0c46	For_range	grammar	9	-	-
For_range-3-065c311b	For_range	contains-illegal	73	-	-
Go_statements-1-d6f388a6	Go_statements	ebnf	1	-	-
Go_statements-2-c0556425	Go_statements	stmt-expr-fragment	2	-	-
Select_statements-1-7c72b605	Select_statements	ebnf	5	-	-
Select_statements-2-b1ed8c96	Select_statements	decl-fragment	28	-	-
Return_statements-1-0f262b91	Return_statements	ebnf	1	-	-
Return_statements-2-b1385fe7	Return_statements	decl-fragment	3	-	-
Return_statements-3-0dfcaa71	Return_statements	decl-fragment	6	-	-
Return_statements-4-6dfcf122	Return_statements	decl-fragment	3	-	-
Return_statements-5-d7698a1e	Return_statements	decl-fragment	9	-	-
Return_statements-6-a013b9d5	Return_statements	contains-illegal	6	-	-
Break_statements-1-4051e159	Break_statements	ebnf	1	-	-
Break_statements-2-c25228fa	Break_statements	stmt-expr-fragment	13	-	-
Continue_statements-1-97f182f8	Continue_statements	ebnf	1	-	-
Continue_statements-2-69d844a3	Continue_statements	stmt-expr-fragment	9	-	-
Goto_statements-1-c4f35f7a	Goto_statements	ebnf	1	-	-
Goto_statements-2-a502299a	Goto_statements	token-examples	1	-	-
Goto_statements-3-474e8f9f	Goto_statements	stmt-expr-fragment	3	-	-
Goto_statements-4-42aaa746	Goto_statements	stmt-expr-fragment	10	-	-
Fallthrough_statements-1-b4290f96	Fallthrough_statements	ebnf	1	-	-
Defer_statements-1-5d1d4e1f	Defer_statements	ebnf	1	-	-
Defer_statements-2-1f99afbe	Defer_statements	decl-fragment	14	-	-
Appending_and_copying_slices-1-68aac269	Appending_and_copying_slices	grammar	1	-	-
Appending_and_copying_slices-2-7f95cfda	Appending_and_copying_slices	decl-fragment	9	-	-
Appending_and_copying_slices-3-809ea69c	Appending_and_copying_slices	grammar	2	-	-
Appending_and_copying_slices-4-820d26f7	Appending_and_copying_slices	decl-fragment	6	-	-
Clear-1-cfc923e6	Clear	grammar	6	-	-
Complex_numbers-1-f4860d35	Complex_numbers	grammar	3	-	-
Complex_numbers-2-00dfb7ad	Complex_numbers	contains-illegal	10	-	-
Deletion_of_map_elements-1-884081cc	Deletion_of_map_elements	grammar	1	-	-
Length_and_capacity-1-8ee8cd4d	Length_and_capacity	grammar	11	-	-
Length_and_capacity-2-26b9d50c	Length_and_capacity	non-code	1	-	-
Length_and_capacity-3-4eda3abb	Length_and_capacity	contains-illegal	8	-	-
Making_slices_maps_and_channels-1-dec9b325	Making_slices_maps_and_channels	grammar	9	-	-
Making_slices_maps_and_channels-2-3bf764de	Making_slices_maps_and_channels	contains-illegal	6	-	-
Min_and_max-1-4d1986f3	Min_and_max	contains-illegal	9	-	-
Min_and_max-2-4b7b7924	Min_and_max	non-code	2	-	-
Min_and_max-3-fea8bda1	Min_and_max	stmt-expr-fragment	5	-	-
Min_and_max-4-c767f355	Min_and_max	stmt-expr-fragment	2	-	-
Allocation-1-26a175c5	Allocation	decl-fragment	2	-	-
Handling_panics-1-341794cd	Handling_panics	grammar	2	-	-
Handling_panics-2-e7d4cef6	Handling_panics	token-examples	3	-	-
Handling_panics-3-620051a5	Handling_panics	decl-fragment	10	-	-
Bootstrapping-1-8fffa506	Bootstrapping	grammar	3	-	-
Source_file_organization-1-e0f27bd0	Source_file_organization	ebnf	1	-	-
Package_clause-1-39c0998c	Package_clause	ebnf	2	-	-
Package_clause-2-d0ac3a8e	Package_clause	decl-fragment	1	-	-
Import_declarations-1-82545906	Import_declarations	ebnf	3	-	-
Import_declarations-2-0a186745	Import_declarations	grammar	4	-	-
Import_declarations-3-d4dcbade	Import_declarations	decl-fragment	1	-	-
An_example_package-1-d5a327de	An_example_package	program	32	-	-
The_zero_value-1-3e4f442c	The_zero_value	decl-fragment	2	-	-
The_zero_value-2-91c9d45b	The_zero_value	decl-fragment	2	-	-
The_zero_value-3-30a989e4	The_zero_value	non-code	3	-	-
The_zero_value-4-ac95c519	The_zero_value	decl-fragment	1	-	-
Package_initialization-1-235612be	Package_initialization	decl-fragment	2	-	-
Package_initialization-2-5310cffb	Package_initialization	decl-fragment	10	-	-
Package_initialization-3-c7d2c156	Package_initialization	decl-fragment	7	-	-
Package_initialization-4-fb4fe100	Package_initialization	decl-fragment	1	-	-
Program_execution-1-0592f9b6	Program_execution	decl-fragment	1	-	-
Errors-1-cf107147	Errors	decl-fragment	3	-	-
Errors-2-011342e6	Errors	decl-fragment	1	-	-
Run_time_panics-1-d30d9de1	Run_time_panics	decl-fragment	5	-	-
Package_unsafe-1-1eeb11d3	Package_unsafe	grammar	12	-	-
Package_unsafe-2-b04c645a	Package_unsafe	decl-fragment	8	-	-
Package_unsafe-3-419db076	Package_unsafe	non-code	1	-	-
Package_unsafe-4-f0e7a316	Package_unsafe	non-code	1	-	-
Package_unsafe-5-6bae1118	Package_unsafe	token-examples	1	-	-
Size_and_alignment_guarantees-1-b317b7e0	Size_and_alignment_guarantees	grammar	6	-	-
