# golang/go issue metadata for the archaeology census's 370 resolvable refs
# joined from the gh snapshot (deps/issue-snapshots/, gitignored); census pin c19862e5f841
# unresolvable via the ISSUES api: 2 (47141,56010) — NOT necessarily junk:
# check the Discussions api before dismissing (audit F-5: 47141 and 56010 are the
# memory-model-rewrite and loopvar-semantics DISCUSSIONS — top-value census objects)
# snapshot rows not in the current census (retired refs): 2
number	state	closed	labels	title
8496	closed	2014-12-08	FrozenDueToAge	spec: term "variable" used inconsistently
8589	closed	2015-03-20	LanguageChange,FrozenDueToAge	spec: allow elision of explicit type for key in map literal
8606	closed	2022-11-14	LanguageChange,Proposal,Proposal-Accepted,FrozenDueToAge	spec: define that structs are compared field-by-field as listed in source code
8989	closed	2014-12-08	FrozenDueToAge	go/types: automatic deref ok for embedded fields in method lookup
9001	closed	2014-12-08	Documentation,FrozenDueToAge	gc, go/types: parens are permitted around builtins, contra spec
9060	closed	2017-10-25	Documentation,FrozenDueToAge	spec: remove unnecessary syntax restrictions for method expressions to match compiler
9226	closed	2014-12-09	FrozenDueToAge	http://golang.org/ref/spec Type Identity example needs review
9235	closed	2015-03-16	FrozenDueToAge	doc: The Go Memory Model : a channel example has a bug
9418	closed	2014-12-22	FrozenDueToAge	spec: Variable Declarations, incorrect variable type
9445	closed	2014-12-26	FrozenDueToAge	spec: Length and Capacity (mistyped expression)
9837	closed	2015-08-05	FrozenDueToAge	spec: clarify redeclaration of result variables
10151	closed	2015-05-13	FrozenDueToAge	spec: bad grammar for binary expressions
10248	closed	2015-07-23	FrozenDueToAge	spec: clarify that """ is an invalid token
10341	closed	2015-08-05	Documentation,FrozenDueToAge	spec: bounded type selectors
10514	closed	2015-08-05	FrozenDueToAge	spec: odd sentence about non-constant shift expressions
10893	closed	2015-05-18	Documentation,FrozenDueToAge	spec: "TO" != "T0" in spec
11161	closed	2015-06-11	FrozenDueToAge	cmd/gc: x op= y is not always equivalent to x = x op y.
11350	closed	2015-06-23	FrozenDueToAge	spec: non-integral constant can be converted to int
11540	closed	2015-12-05	FrozenDueToAge	cmd/compile: interface conversion panic
11668	closed	2015-07-30	FrozenDueToAge	cmd/compile: use of untyped nil in switch
11669	closed	2015-08-21	FrozenDueToAge	go/types: complex(0, 0i) should be permitted
11945	closed	2017-06-08	NeedsFix,FrozenDueToAge	cmd/compile: real and imag don't produce untyped results for untyped constant arguments
11946	closed	2019-10-02	FrozenDueToAge	cmd/compile: real and imag don't accept untyped non-complex constants as arguments
11947	closed	2015-08-26	FrozenDueToAge	go/types: real and imag don't accept untyped non-complex constants as arguments
11964	closed	2015-07-31	Documentation,FrozenDueToAge	spec: minor changes to examples
12576	closed	2015-10-20	Documentation,FrozenDueToAge	spec: Do exact floating-point constants differentiate between -0.0 and 0.0?
12578	closed	2015-09-12	FrozenDueToAge	spec: Clarify composite literal type elision rules for map values
12711	closed	2019-05-07	v2,Proposal,Proposal-Accepted,NeedsDecision,FrozenDueToAge	proposal: different octal base literal representation
12717	closed	2015-09-23	FrozenDueToAge	spec: Make Composite Literals description more precise
13371	closed	2015-11-26	Documentation,FrozenDueToAge	spec: docs for iota could give an example of incrementing over non-iota definitions
13414	closed	2016-01-05	Documentation,FrozenDueToAge	spec: links to charts/lists of supported unicode character categories
13420	closed	2015-11-30	FrozenDueToAge	spec: example in specification for struct tags not valid tags or not representative of tag usage
13572	closed	2016-10-18	LanguageChange,Proposal,Proposal-Accepted,FrozenDueToAge	spec: allow implementations to restrict constants to 16-bit binary exponents
13595	closed	2015-12-15	FrozenDueToAge	spec: Variadic receiver types
13780	closed	2016-01-01	FrozenDueToAge	Typo in the language specification: “in a expression”
14422	closed	2016-04-19	FrozenDueToAge	spec: terminating statements and trailing empty statements
14477	closed	2016-02-23	FrozenDueToAge	Slice syntax in documentation wrong
14785	closed	2016-04-21	Documentation,FrozenDueToAge	spec: operators/shift misleading comment
14822	closed	2017-06-08	Documentation,FrozenDueToAge	spec: clarify restrictions on RHS of non-constant shifts
14844	closed	2017-09-01	NeedsDecision,FrozenDueToAge	spec: gotype accepts a[1.0<<s] though the compilers do not - which is correct?
15389	closed	2017-08-25	Documentation,FrozenDueToAge	spec: "representability" is not well defined in the spec
15412	closed	2016-04-25	FrozenDueToAge	spec: empty vs absent struct field tag
15550	closed	2017-10-19	NeedsFix,FrozenDueToAge	spec: definition for iota doesn't make sense for nested ConstDecls
15686	closed	2016-08-18	FrozenDueToAge	go/types: incorrect scope positioning for variables defined by RangeStmt
15782	closed	2016-08-24	FrozenDueToAge	spec: "special form" description of comma-ok assignments is incomplete
15896	closed	2016-05-31	FrozenDueToAge	spec: clarify allowed implementation restrictions for switch statements
16085	closed	2016-10-04	Proposal,Proposal-Accepted,FrozenDueToAge	Proposal: Ignore tags in struct type conversions
16339	closed	2016-11-04	Proposal	Proposal: Alias declarations for Go
16679	closed	2016-10-06	FrozenDueToAge	spec: clarify acceptable indices in array/slice composite literals
16794	closed	2016-09-01	Documentation,FrozenDueToAge	spec: implementation and spec differ w/ respect to scope of implicit type switch vars
16874	closed	2016-08-25	Documentation,FrozenDueToAge	spec: clarify init must be functions
17398	closed	2016-10-14	NeedsFix,FrozenDueToAge	spec: description of complex numbers says valid code is illegal
17428	closed	2016-10-13	FrozenDueToAge	spec: Type assertions
17746	closed	2016-11-04	-	spec: embedding a type alias is confusing
17784	closed	2016-11-04	-	spec: clarify meaning of alias decls in sequence of "enum" const declaration
17895	closed	2017-06-20	LanguageChange,Proposal,Proposal-Accepted,FrozenDueToAge	spec: allow the use of fused multiply-add floating point instructions
17954	closed	2016-11-18	NeedsFix,FrozenDueToAge	spec: clarify type elision rules for composite literals
17975	closed	2016-11-18	FrozenDueToAge	go/doc: remove alias => operator from spec
18130	closed	2017-05-03	Proposal,Proposal-Accepted,FrozenDueToAge	all: support gradual code repair while moving a type between packages
18950	closed	2017-02-07	FrozenDueToAge	spec: improvement for wording
19113	closed	2019-05-07	LanguageChange,v2,Proposal,Proposal-Accepted,NeedsDecision,FrozenDueToAge	proposal: spec: allow signed shift counts
19220	closed	2017-08-30	FrozenDueToAge	spec: clarify whether str[low : high] shares the underlying memory with str
19306	closed	2017-05-09	FrozenDueToAge	spec: clarify if a type with underlying unsafe.Pointer type can be used for unsafe conversions
19308	closed	2019-05-07	LanguageChange,v2,Proposal,Proposal-Accepted,NeedsDecision,FrozenDueToAge	proposal: spec: binary integer literals
19367	closed	2021-04-29	Proposal,Proposal-Accepted,FrozenDueToAge	unsafe: add Slice(ptr *T, len anyIntegerType) []T
19450	closed	2017-03-13	NeedsDecision,FrozenDueToAge	spec: `operators, delimiters, and special tokens` not used consistently
19689	closed	2017-03-24	Documentation,FrozenDueToAge	spec: does not cover the case where a map composite literal contains multiple copies of the same key at runtime
19885	closed	2017-04-28	FrozenDueToAge	spec: admissible argument types for print/println
19903	closed	2017-07-06	Documentation,Proposal,Proposal-Accepted,FrozenDueToAge	spec: document the hint for make(map) better
20830	closed	2017-06-28	Documentation,FrozenDueToAge	spec: grammar mistake
20900	closed	2017-08-14	FrozenDueToAge	spec: some "base type" (of pointer types) occurrences are not used consistently
21579	closed	2017-08-25	FrozenDueToAge	spec: clarify zero value for complex types
21580	closed	2017-08-25	FrozenDueToAge	spec: clarify that nil in a type switch is not a type
21693	closed	2017-12-01	NeedsFix,FrozenDueToAge	cmd/compile: a[1.0 << s] should be accepted
21785	closed	2017-09-19	FrozenDueToAge	spec: unclear whether int, bool, string are considered defined types
22202	closed	2017-10-10	FrozenDueToAge	spec: type identity section not fully updated for 1.9
22258	closed	2017-10-19	FrozenDueToAge	spec: unnecessary phrase in range loop description
22282	closed	2017-10-23	Documentation,Proposal,Proposal-Accepted,FrozenDueToAge	doc: delete mention of compiled binaries from spec
22308	closed	2017-10-18	Documentation,NeedsFix,FrozenDueToAge	spec: document package unsafe's path is "unsafe"
22326	closed	2019-05-29	NeedsFix,FrozenDueToAge,early-in-cycle,release-blocker	cmd/compile: incorrect package initialization order for spec example
22495	closed	2017-10-30	Documentation,FrozenDueToAge	spec: typo in the Go Spec
23096	closed	2017-12-12	FrozenDueToAge	spec: Issue with an example of Type Identities in the language spec
23215	closed	2017-12-22	FrozenDueToAge	spec: informally explain what a terminating statement is
23254	closed	2018-01-04	FrozenDueToAge	spec: there are 4 "value type" of map type uses in spec
23389	closed	2018-01-09	Documentation,FrozenDueToAge	spec: the double quotes enclosing "wrap around" are not symmetrical
23409	closed	2018-01-11	Documentation,FrozenDueToAge	spec: Typing error in Go spec documentation
23442	closed	2018-01-14	FrozenDueToAge	Edited ReadMe
23443	closed	2018-01-17	Documentation,FrozenDueToAge	proposal: spec: the integer division exception rule should be moved to the integer overflow section
23474	closed	2018-01-23	Documentation,FrozenDueToAge	spec: clarify "named" vs. "defined" types
23814	closed	2022-06-14	Documentation,FrozenDueToAge	spec: review/clarify uses of "slice of bytes"
23895	closed	2018-02-18	FrozenDueToAge	spec: confusing example in map index expressions section
24163	closed	2024-12-30	Documentation,NeedsFix,FrozenDueToAge,FixPending	spec: clarify that conversions to slices don't guarantee slice capacity?
24451	closed	2018-03-19	NeedsFix,FrozenDueToAge	doc: 9 is listed as a prime in example code within spec
25448	closed	2023-01-19	LanguageChange,v2,Proposal,Proposal-Accepted,NeedsFix,FrozenDueToAge	spec: guarantee non-nil return value from recover
26313	closed	2018-10-08	Documentation,FrozenDueToAge	spec: possibly inaccurate description of untyped case expressions
27384	closed	2018-08-31	Documentation,FrozenDueToAge	doc: fix os.Pipe usage in short variable declarations example
27802	closed	2018-09-24	NeedsDecision,FrozenDueToAge	spec: defer statement specification is easily misread
27808	closed	2018-12-21	Documentation,NeedsFix,FrozenDueToAge	ref/mem: misleading sentence in sync.Once example
27995	closed	2018-10-17	NeedsInvestigation,FrozenDueToAge,release-blocker	spec: should accept method recv base type that is alias to a pointer type
28341	closed	2018-10-23	Documentation,NeedsFix,FrozenDueToAge	spec: don't use "exception" instead of "panic"
28493	closed	2019-05-07	LanguageChange,v2,Proposal,Proposal-Accepted,NeedsDecision,FrozenDueToAge	proposal: permit blank (_) separator in integer number literals
28736	closed	2018-11-13	Documentation,NeedsInvestigation,FrozenDueToAge	spec: documentation of len() in string type unclear
29008	closed	2019-05-07	LanguageChange,v2,Proposal,Proposal-Accepted,NeedsDecision,FrozenDueToAge	proposal: Go 2: hexadecimal floats
29425	closed	2019-05-13	Documentation,FrozenDueToAge	doc: new(T) and &T{} result into different things: clarification needed
30769	closed	2019-03-14	Documentation,WaitingForInfo,NeedsFix,FrozenDueToAge	spec: apparent contradiction for passing of slice argument to variadic parameter
31292	closed	2019-05-13	Documentation,FrozenDueToAge	spec: clarify section on initialization order
31689	closed	2019-05-14	Documentation,NeedsFix,FrozenDueToAge	spec: clarify whether the spec guarantees that slicing an array reuses that array in the slice
34056	closed	2019-09-04	NeedsFix,FrozenDueToAge	spec: minor bug relating to changes made for shifts
36037	closed	2019-12-13	Documentation,NeedsDecision,FrozenDueToAge	doc: go spec says grammar is "regular", but it is not regular in grammar sense
36520	closed	2020-01-15	Documentation,NeedsFix,FrozenDueToAge	doc: go-spec.html missing space before . on line 2416, OperandName = identifier | QualifiedIdent.
36526	closed	2020-01-13	Documentation,NeedsFix,FrozenDueToAge	doc/go_spec.html: typo with an empty interface declaration
36559	closed	2020-01-15	cla: yes	spec: add missing space in EBNF
40481	closed	2021-04-29	Proposal,Proposal-Accepted,FrozenDueToAge	unsafe: add Add function
40882	closed	2022-12-14	Documentation,FrozenDueToAge	spec: document that recursive type declarations through type parameters are not permitted
41612	closed	2020-09-24	Documentation,NeedsFix,FrozenDueToAge	spec: a small imperfection in spec
41687	closed	2022-05-12	NeedsInvestigation,FrozenDueToAge	spec: Embedded fields don't need to be defined types
41835	closed	2020-10-30	NeedsInvestigation,FrozenDueToAge	spec: one imperfection
43200	closed	2021-04-28	NeedsDecision,FrozenDueToAge	spec: unclear whether error should be reported for non-comparable switch expression in empty switch
44040	closed	2021-02-02	cla: yes	spec: improve the example in Type assertions section
44318	closed	2021-02-20	Documentation,NeedsFix,FrozenDueToAge	spec: Every type should have a method set which may be empty
44664	closed	2021-03-16	cla: yes	spec: clarify that signed integers>=0 are permitted as shift counts
44715	closed	2022-05-12	Documentation,NeedsInvestigation,FrozenDueToAge	spec: refers to Unicode 'class' when it should be 'category'
45114	closed	2022-01-19	Documentation,FrozenDueToAge	spec: shift string(1 << s) should be invalid
45624	closed	2025-10-27	LanguageChange,Proposal,Proposal-Accepted,release-blocker	spec: expression to create pointer to simple types
45652	closed	2022-05-12	FrozenDueToAge	spec: clarify that short variable redeclaration cannot redeclare the same variable multiple times
45771	closed	2021-04-27	cla: yes	doc: change <a/> to </a> in spec
46477	closed	2024-11-27	Proposal,Proposal-Accepted,FrozenDueToAge,early-in-cycle,release-blocker,generics	spec: generics: permit type parameters on aliases
46505	closed	2022-12-16	LanguageChange,Proposal,Proposal-Accepted,FrozenDueToAge,early-in-cycle,Proposal-FinalCommentPeriod	spec: allow conversion from slice to array
46742	closed	2021-07-21	Proposal,Proposal-Accepted,FrozenDueToAge,release-blocker,Proposal-FinalCommentPeriod	unsafe: double-check specified semantics for Slice((*T)(nil), 0) for Go 1.17
