# id	title	themes	status	notes
c39	zero value mutex and buffer	stdlib,sync,bytes,zero-values	future	stdlib/runtime behavior outside GoCore initial surface
c40	buffered channel send blocking	channels,select,buffering	future	requires channels and select
c41	range over channel	channels,range,close	future	requires channels and close/range semantics
c42	sync.Once	stdlib,sync	future	stdlib behavior
c43	unused locals are compile errors	compile-errors,blank-identifier	future	compile-time-only behavior
c44	package init dependency order	init,globals	future	requires package-level vars and init order
c45	pointer and channel identity	pointers,channels,equality	future	pointer identity partly covered; channels open
c46	fmt Stringer verbs	fmt,methods,interfaces	future	stdlib formatting and method dispatch
c47	byte slice printing	fmt,bytes,slices	future	stdlib formatting
c48	wrong fmt verb	fmt,stdlib	future	stdlib formatting
c49	struct fmt verbs	fmt,structs	future	stdlib formatting
c50	errors.New distinct values	errors,interfaces,identity	future	stdlib errors and interface identity
c51	errors.Is wrap chain	errors,stdlib	future	stdlib errors
c52	closures share captured variables	closures,functions,fvars	future	requires closures and captured variables
c53	method expression receiver argument	methods,functions	future	requires method expressions
c54	naked return named results	returns,named-results	active-covered	covered by naked-return
c55	variadic no args nil slice	variadic,nil,slices	active-covered	covered by variadic
c56	generic functions and no generic methods	generics,type-parameters	future	requires generics
c57	comparable constraint and inference	generics,comparability,inference	future	requires generics
c58	zero value of type parameter	generics,zero-values	future	requires generics
c59	visibility by identifier case	json,exported-fields,stdlib	future	stdlib JSON and package visibility
c60	new map versus make map	maps,new,make,nil	candidate	`new(map)` plus nil-map assignment panic
