maps/cross-goroutine-delete-readd/insert	Corpus/coverage/exec/maps/cross-goroutine-delete-readd	crossGoroutineDeleteReAddInsert	-	ok	maps,delete,range,goroutines,channels,nondet	-	membership	same handshake shape with ONE fresh insert (a created entry, may be produced or skipped) between the delete and the re-create; the observable counts productions of the handed-over key only: admitted set {1 (skipped), 2 (produced again)} (members=2) — gc exhibits BOTH (~87% n=2 at size 3, one insert); pick-next bound <= 4 live candidates + stop = 5, scheduler bound 2 — width 8 >= 5	width=8,sites=48,members=2,backedge=full,work=8000000
maps/delete-insert-readd-during-range	Corpus/coverage/exec/maps/delete-insert-readd-during-range	mapDeleteInsertReAddDuringRange	-	ok	maps,delete,range,evaluation_order,nondet	-	membership	same-goroutine delete + ONE fresh insert + re-add of the first-produced key (I-1 / L-012: the re-created key is a NEW entry): admitted set {1 (skipped), 2 (produced again)} (members=2) — gc exhibits BOTH (~87% n=2 at the probe), the oracle-exhibited twin of delete-readd-during-range; the only consumption site is the pick-next, bound <= 4 live candidates + stop = 5 — width 8 >= 5	width=8,sites=16,members=2
maps/delete-readd-during-range	Corpus/coverage/exec/maps/delete-readd-during-range	mapDeleteReAddDuringRange	-	ok	maps,delete,range,evaluation_order,nondet	-	membership	REWORKED from a strict exact-count pin (2026-08-19 ruling: full literal envelope — the old count-3 pin encoded the dead at-most-once-per-key narrowing). A deleted-then-re-created key is a NEW created entry and may be produced again, so the honest claim is membership: gc's sample (3, its only exhibited member, 400/400 probe runs) lies inside the admitted set {3, 4, -1}; -1 is the subject's own truncation of the genuinely unbounded tail, an admitted member. Width bound: the pick-next site's bound is live candidates + the stop slot, at most 3+1 — width 16 >= 4	width=16,sites=8
maps/jitter-draw	Corpus/coverage/exec/maps/jitter-draw	jitterDraw	-	ok	maps,range,keys,loops,nondet	-	membership	the composed observable electionTimeout + (first key of a fresh 5-key map range) realizes raft's jitter contract range [5,10): admitted set {5,6,7,8,9} (members=5); the only consumption site is the map pick-next, bound = remaining snapshot size + stop, at most 5+1 — width 16 >= 6	width=16,sites=8
maps/range-first-key	Corpus/coverage/exec/maps/range-first-key	rangeFirstKey	-	ok	maps,range,keys,loops,nondet	-	membership	the first key produced by range over a 3-key map observes the map-iteration pick-next choice site; Go randomizes iteration order per run, so repeated samples explore the admitted set {1,2,3}. Width bound: the pick-next site's bound is the remaining snapshot size, at most 3 (then 2, then 1) — width 16 >= 3	width=16,sites=8
multipkg/mini-raft-twin/choice-order	Corpus/coverage/exec/multipkg/mini-raft-twin	twinChoiceOrder	-	ok	multipackage,structs,maps,slices,nondet	-	membership	the delivery-order draw over a fresh campaign's two vote requests realizes the network-reordering envelope on the twin kernel: admitted set {21, 31} (members=2) — either request may be delivered first and its receiver grants; the only consumption site is the map pick-next over the fresh 2-key pick map (the D-11 idiom); the enumerator's mechanical bound at the pick is 32 — width 40 >= 32	width=40,work=1000000,sites=8
noodler/membership/two-senders-buffered	Corpus/coverage/exec/noodler/membership	twoSendersBuffered	-	ok	goroutines,channels,nondet	-	membership	the two children's sends into the cap-2 buffer commit in scheduler order (L1): admitted set {12, 21} (members=2); the consumption sites are the L1 picks over at most 3 runnable goroutines (no append spill: the buffer is pre-sized) — width 4 >= 3	width=4,sites=64,members=2,work=2000000
noodler/membership/three-key-map-order	Corpus/coverage/exec/noodler/membership	threeKeyMapOrder	-	ok	maps,range,nondet	-	membership	map iteration order over three never-mutated keys: the 6 permutations (members=6, spec: order not specified); consumption is the E9 pick-next over at most 3 live candidates + stop — width 4 >= 4	width=4,sites=16,members=6
noodler/membership/select-two-ready	Corpus/coverage/exec/noodler/membership	selectTwoReady	-	ok	channels,select,nondet	-	membership	both clauses are entry-ready: the L2 pick (spec: uniform pseudo-random, weakened possibilistically): admitted set {1, 2} (members=2); the only consumption site is the L2 pick with bound 2	width=2,sites=8,members=2
noodler/membership/insert-then-delete-during-range	Corpus/coverage/exec/noodler/membership	insertThenDeleteDuringRange	-	ok	maps,range,delete,nondet	-	membership	which original key is produced first is the E9 pick (2 orders); if key 1 comes first the created key 9 exists when key 2 is reached and may be produced (before its deletion) or skipped: admitted set {2, 3} (members=2); pick-next bound is live candidates + stop <= 4 — width 4	width=4,sites=16,members=2
race/atomics-free/publish-acquire	Corpus/coverage/exec/race/atomics-free	publishAcquire	-	ok	sync,atomics,ints,goroutines,closures,race,nondet	-	membership	the store-release/load-acquire pair: on the path where the flag is seen the plain data read is HB-after the plain write (mem#atomic's synchronized-before), on the other path no data read happens — race-free on every path; the SC-excluded stale-data member 100 is absent; admitted {0, 1}	width=4,sites=32
race/atomics-free/rmw-acquire	Corpus/coverage/exec/race/atomics-free	rmwAcquire	-	ok	sync,atomics,ints,goroutines,closures,race,nondet	-	membership	an RMW (Add 0) observing the store inherits the storer's clock (TSan mo_acq_rel; mem#atomic) — the conditional plain read is ordered; admitted {0, 1}	width=4,sites=32
race/atomics-free/cas-failure-acquires	Corpus/coverage/exec/race/atomics-free	casFailureAcquires	-	ok	sync,atomics,ints,goroutines,channels,loops,closures,race,nondet	-	membership	the isolating shape (audit fix H5): the reader spins on CompareAndSwap(&flag,0,0) — success while 0, FAILURE on observing the store — so the loop exit is the failing CAS and its acquire (TSan mo_acquire on failure; mem#atomic: the failed CAS observed the store) is the ONLY edge ordering the plain data read after the plain write; no path refuses; members {5}, the always-spin schedules are nonterm branches (no termination claim)	width=4,sites=200,members=1,nonterm=200,backedge=1
race/litmus/sb-chan	Corpus/coverage/exec/race/litmus	litmusSBChan	-	ok	goroutines,channels,select,default,race,nondet	-	membership	the two publish/poll goroutines' commit order is L1 latitude: admitted set {1, 10, 11}, 00 SC-forbidden — certified by schedule enumeration with the members=3 cardinality pin; go samples (plain and -race) must be members	width=3,sites=32,work=5000000,members=3,engine=dedup
slices/append-spill-below-formula	Corpus/coverage/exec/slices/append-spill-below-formula	appendSpillBelowFormula	-	ok	slices,append,cap,strings,nondet	-	membership	gc allocates exactly newLen for 16-byte elements at small sizes (cap 2 for nil []string -> len 2), BELOW the growth formula's max(4,newLen)=4 — the envelope's lower bound is the spec floor newLen. Site bound = max(32, 2*growth) - newLen + 1 = 31; width 32 >= 31	width=32,samples=1,sites=8
slices/append-spill-size-class	Corpus/coverage/exec/slices/append-spill-size-class	appendSpillSizeClass	-	ok	slices,append,cap,nondet	-	membership	gc size-class rounding realizes cap 224 for []int oldCap 100 -> newLen 101 (formula 200, old window [200,208)) — above the old envelope. Widened envelope [101, max(32, 2*200)=400]; site bound = 400-101+1 = 300; width 300; cap 320 (300 distinct capacities exceed the default 64 observation cap)	width=300,cap=320,samples=1,sites=8
slices/append-spill-stack-buffer	Corpus/coverage/exec/slices/append-spill-stack-buffer	appendSpillStackBuffer	-	ok	slices,append,cap,bytes,nondet	-	membership	gc stack-buffers small non-escaping appends (32-byte buffer): realized cap 32 for a byte append at oldCap 3 -> newLen 4, outside the old growth+[0,8) window. Version-tracks the stack-buffer point against the widened envelope [newLen, max(32, 2*growth)] (site bound = upper-newLen+1 = 29; width 32 >= 29)	width=32,samples=1,sites=8
slices/full-slice-cap-zero	Corpus/coverage/exec/slices/full-slice-cap-zero	fullSliceCapZero	-	ok	slices,full_slice,append,cap,aliasing,nondet	-	membership	cap() after append spills a zero-cap full-slice window, observing the append-capacity choice site (envelope [newLen, max(32, 2*growth)] since the F2 widening, arc-final audit 2026-08-06); Go picks one capacity deterministically per toolchain, so samples=1 version-tracks this (oldCap 0, newLen 1) point — one triple, not the whole envelope (the slices/append-spill-* pins cover the escaping regimes). Width bound: appendSpillWidth 0 1 = 32 — width 32 >= 32	width=32,samples=1,sites=8
sync/atomic-frontier/mp-litmus	Corpus/coverage/exec/sync/atomic-frontier	atomicMpLitmus	-	ok	sync,atomics,goroutines,nondet	-	membership	message-passing litmus under mem#atomic's seq_cst clause: writer stores data then flag, reader loads flag then data — admitted set {0, 1, 11}; the SC-excluded member is 10 (flag seen, data missed). One member oracle-witnessed (0, 400/400 at the pin); the set is argued from the mem text, which is exactly the membership lane's job — FLIPPED GREEN 2026-09-03 (atomics arc wave 1): the fused single-step ops realize the set {0, 1, 11} exactly and 10 is mechanically absent; sites raised 8→32 at the flip (every atomic apply and its postOp completion is a scheduling consult)	width=8,sites=32
sync/mutex-order/acquisition-order	Corpus/coverage/exec/sync/mutex-order	acquisitionOrder	-	ok	sync,mutex,goroutines,channels,globals,nondet	-	membership	acquisition order between main and the worker is L1 scheduling latitude (design note §6: no spec/package text on contender order; gc's semaphore-FIFO-with-barging is one legal point): certified set {10 (main's section first), 20 (worker's first)} (members=2); width 4 caps the two-goroutine bounds	width=4,sites=40,work=20000000,members=2
sync/rwmutex-order/acquisition	Corpus/coverage/exec/sync/rwmutex-order	rwOrder	-	ok	sync,rwmutex,goroutines,channels,globals,nondet	-	membership	which contender acquires after main's write-unlock is schedule latitude at registry granularity (both-parked successor divergence recorded in design note §8 R1): width 4 caps the three-goroutine bounds; certified set {10,20}, members=2	width=4,sites=40,work=30000000,members=2,engine=dedup
